position_id,employee_id
fa001e78-0008-4000-8000-000000000008,33dea239-2610-49d9-8f33-748f62f04e74
0ae9589e-0007-4000-8000-000000000007,446a4190-0a9a-49db-b205-2099138c15ef
d94fe5a8-0005-4000-8000-000000000005,ed01868b-f88b-4afe-a9bb-5284e00230cc
d94fe5a8-0009-4000-8000-000000000009,07a33f8c-3fd4-43be-a10d-9ab824301689
fa001e78-0007-4000-8000-000000000007,a8941a92-c908-4426-8e69-a896196467db
4eae2daf-0004-4000-8000-000000000004,2f0083df-d72c-4c50-a9ea-72c6e742537d
4eae2daf-0007-4000-8000-000000000007,2c354bc1-5c3d-41b3-b406-4540b3fac852
42790098-0002-4000-8000-000000000002,eab25f5b-ed35-4925-86de-83a96698187f
42790098-0004-4000-8000-000000000004,93316aa7-6909-4152-8ea4-09839ba4f25a
42790098-0007-4000-8000-000000000007,4889eebd-778a-4947-ae1b-a50f4688731d
0ae9589e-0002-4000-8000-000000000002,d82bbccc-7456-445e-9834-eeffad9d5a0e
0ae9589e-0006-4000-8000-000000000006,2f0083df-d72c-4c50-a9ea-72c6e742537d
0ae9589e-0008-4000-8000-000000000008,6ff7e9d8-3c9f-4d09-82ef-f4f963972f88
d94fe5a8-0002-4000-8000-000000000002,2a1102ab-bb9f-40ce-9155-10e25e35f364
d94fe5a8-0004-4000-8000-000000000004,eab25f5b-ed35-4925-86de-83a96698187f
d94fe5a8-0006-4000-8000-000000000006,93316aa7-6909-4152-8ea4-09839ba4f25a
d94fe5a8-0008-4000-8000-000000000008,cb16721f-b794-4cf9-91de-124cd4f9b8f1
